YTD,,,28-DAY,,,7-DAY,
INC_Date,(All),,INC_Date,(All),,INC_Date,(All)
,,,,,,,
Row Labels,Count of Case Number,,Row Labels,Count of Case Number,,Row Labels,Count of Case Number
Burglary - Auto,,,Burglary - Auto,,,Burglary - Auto,
Monday,1,,Monday,1,,Monday,1
Burglary - Residence,,,Burglary - Residence,,,Burglary - Residence,
Thursday,1,,Thursday,1,,Thursday,1
"Criminal Sexual Contact, Juvenile Investigation",,,"Criminal Sexual Contact, Juvenile Investigation",,,"Criminal Sexual Contact, Juvenile Investigation",
Tuesday,1,,Tuesday,1,,Tuesday,1
Grand Total,3,,Grand Total,3,,Grand Total,3
