Fulladdress,Incident,Count,POST
"30 Prospect Avenue, Hackensack, NJ, 07601",SIMPLE ASSAULT,1,7
"30 Prospect Avenue, Hackensack, NJ, 07601",9-1-1 CALL,1,7
"30 Prospect Avenue, Hackensack, NJ, 07601",DISPUTE,1,7
"30 Prospect Avenue, Hackensack, NJ, 07601",TERRORISTIC THREATS,1,7
"30 Prospect Avenue, Hackensack, NJ, 07601",WELFARE CHECK,1,7
"30 Prospect Avenue, Hackensack, NJ, 07601",SUSPICIOUS INCIDENT,1,7
"60 Second Street, Hackensack, NJ, 07601",9-1-1 CALL,1,7
"60 Second Street, Hackensack, NJ, 07601",CRIMINAL MISCHIEF,1,7
"135 First Street, Hackensack, NJ, 07601",SIMPLE ASSAULT,2,7
"315 Park Street, Hackensack, NJ, 07601",DISPUTE,1,7
"315 Park Street, Hackensack, NJ, 07601",WELFARE CHECK,1,7
"1 Park Avenue, Hackensack, NJ, 07601",DISPUTE,1,8
"1 Park Avenue, Hackensack, NJ, 07601",GROUP,1,8
"18 East Camden Street, Hackensack, NJ, 07601",MOTOR VEHICLE THEFT,1,8
"630 Main Street, Hackensack, NJ, 07601",SHOPLIFTING,4,9
"400  Hackensack Avenue, Hackensack, NJ, 07601",SUSPICIOUS PERSON,1,9
"400 Hackensack Avenue, Hackensack, NJ, 07601",UNWANTED PERSON,1,9
"67 Orchard Street, Hackensack, NJ, 07601",DISPUTE,1,9
"500 South River Street, Hackensack, NJ, 07601",SHOPLIFTING,1,5
"500 South River Street, Hackensack, NJ, 07601",SIMPLE ASSAULT,1,5
"500 South River Street, Hackensack, NJ, 07601",SUSPICIOUS VEHICLE,1,5
"505 South River Street, Hackensack, NJ, 07601",DISPUTE,1,5
"505 South River Street, Hackensack, NJ, 07601",UNWANTED PERSON,1,5
"80 South River Street, Hackensack, NJ, 07601",DISPUTE,2,5
